 Initializing...
 -0.161852360      0.224718094     -0.256129742     -0.165706158    
  -2.69660950E-02 -0.221510172    
   2.01598787    
   2.01963902    
   2.02262878    
   2.02478433    
   2.02590418    
   2.02591610    
   2.02494860    
   2.02325821    
   2.02113485    
   2.01883793    
   2.01656389    
   2.01444435    
   2.01255345    
   2.01092196    
   2.00955009    
   2.00841832    
   2.00749850    
   2.00675917    
   2.00616860    
   2.00569916    
   2.00532651    
   2.00503016    
   2.00479341    
   2.00460291    
   2.00444818    
   2.00432158    
   2.00421572    
   2.00412679    
   2.00405073    
   2.00398445    
   2.00392628    
   2.00387430    
   2.00382757    
   2.00378466    
   2.00374556    
   2.00370908    
   2.00367522    
   2.00364375    
   2.00361395    
   2.00358582    
   2.00355959    
   2.00353456    
   2.00351095    
   2.00348854    
   2.00346732    
   2.00344706    
   2.00342774    
   2.00340939    
   2.00339198    
   2.00337529    
   2.00335932    
   2.00334430    
   2.00332975    
   2.00331593    
   2.00330257    
   2.00329018    
   2.00327802    
   2.00326633    
   2.00325537    
   2.00324488    
   2.00323462    
   2.00322509    
   2.00321579    
   2.00320649    
   2.00319815    
   2.00318956    
   2.00318193    
   2.00317407    
   2.00316691    
   2.00315976    
   2.00315309    
   2.00314665    
   2.00314045    
   2.00313425    
   2.00312853    
   2.00312281    
   2.00311732    
   2.00311208    
   2.00310707    
   2.00310206    
   2.00309753    
   2.00309277    
   2.00308847    
   2.00308418    
   2.00307989    
   2.00307608    
   2.00307202    
   2.00306845    
   2.00306463    
   2.00306106    
   2.00305772    
   2.00305414    
   2.00305104    
   2.00304794    
   2.00304461    
   2.00304151    
   2.00303864    
   2.00303555    
   2.00303292    
   2.00303006    
   2.00302744    
   2.00302482    
   2.00302219    
   2.00301957    
   2.00301695    
   2.00301456    
   2.00301218    
   2.00300980    
   2.00300741    
   2.00300503    
   2.00300312    
   2.00300074    
   2.00299835    
   2.00299621    
   2.00299406    
   2.00299191    
   2.00298977    
   2.00298762    
   2.00298572    
   2.00298357    
   2.00298166    
   2.00297976    
   2.00297785    
   2.00297570    
